sample_no,printer_type,material,layer_thickness_mm,infill_density_pct,infill_pattern,speed_mm_s,roughness_avg_um,hardness_avg,peak_load_n,peak_stress_kpa,strain_at_break,modulus_mpa,width_mm,thickness_mm,roughness_valid
361,closed,PLA+,0.1,50,tri hexagon,70,3.122666666666667,76.8,629.4326666666667,28756.06666666667,0.01566666666666667,2168.158,6.47,3.383333333333333,True
362,closed,PLA+,0.1,50,octet,70,3.2136666666666667,75.4,674.1303333333334,30759.6,0.01666666666666667,2197.388,6.510000000000001,3.366666666666667,True
363,closed,PLA+,0.1,50,concentric,70,2.016,64.6,743.2983333333333,32992.63333333333,0.016,2449.27,6.100000000000001,3.693333333333333,True
364,closed,PLA+,0.1,50,cross3d,70,2.8523333333333327,72.2,553.955,25844.93333333333,0.016,1876.454,6.243333333333333,3.433333333333334,True
365,closed,PLA+,0.1,80,lines,30,2.1970000000000005,78.7,738.6790000000001,33278.73333333334,0.014,2594.503,6.403333333333333,3.466666666666667,True
366,closed,PLA+,0.1,80,cubic,30,1.9269999999999998,75.9,785.6453333333334,36323.5,0.01333333333333333,2921.117333333333,6.386666666666667,3.386666666666667,True
367,closed,PLA+,0.1,80,octet,30,2.1140000000000003,79.2,738.9513333333333,32380.96666666666,0.01366666666666667,2575.792333333333,6.286666666666666,3.63,True
368,closed,PLA+,0.1,80,concentric,30,2.1783333333333332,76.5,904.0623333333333,41103.06666666667,0.01366666666666667,3504.447,6.503333333333333,3.383333333333333,True
369,closed,PLA+,0.1,80,gyroid,30,2.3966666666666665,78.2,790.9376666666667,36369.96666666667,0.013,3358.683666666666,6.473333333333334,3.36,True
370,closed,PLA+,0.1,80,lines,50,3.255333333333333,78.6,795.7556666666666,36795.96666666667,0.014,3267.568666666667,6.43,3.363333333333333,True
371,closed,PLA+,0.1,80,cubic,50,2.5143333333333335,80.2,806.5,37090.16666666666,0.013,3383.978000000001,6.446666666666666,3.373333333333334,True
372,closed,PLA+,0.1,80,octet,50,2.725666666666667,76.3,768.2123333333334,35766.33333333334,0.01366666666666667,3285.848333333333,6.323333333333333,3.396666666666667,True
373,closed,PLA+,0.1,80,cross,50,3.5869999999999997,76.2,561.6046666666666,26146.23333333333,0.014,2390.597333333333,6.386666666666667,3.363333333333333,True
374,closed,PLA+,0.1,80,gyroid,50,3.421666666666667,73.8,822.6533333333333,37929.93333333333,0.01433333333333333,3268.484,6.373333333333334,3.403333333333334,True
